id,type,category,content
1,truth,interaction,Ai trong bàn là người bạn nghĩ uống giỏi nhất?
2,truth,interaction,"Nếu được miễn uống cả tối nay, bạn sẽ nhường quyền đó cho ai?"
3,truth,interaction,Lần say gần đây nhất của bạn diễn ra ở đâu?
4,truth,interaction,Món nhậu bạn thích nhất là gì?
5,truth,interaction,"Nếu phải rủ một người trong bàn đi du lịch, bạn sẽ chọn ai?"
6,truth,interaction,Ai trong bàn có gu ăn mặc đẹp nhất?
7,truth,interaction,Theo bạn ai trong bàn quậy nhất khi có bia rượu?
8,truth,interaction,Bạn thích nhất bộ phận nào trên cơ thể mình?
9,truth,interaction,Lâu nhất bạn từng không tắm là bao lâu?
10,truth,interaction,Theo bạn ai trong bàn hài hước nhất?
11,truth,interaction,Ai trong bàn có khả năng làm leader tốt nhất?
12,truth,interaction,"Nếu mở một quán nhậu, bạn sẽ rủ ai góp vốn?"
13,truth,interaction,Ai trong bàn có gu âm nhạc hợp bạn nhất?
14,truth,interaction,"Bạn thích bia, cocktail hay rượu mạnh hơn?"
15,truth,interaction,Ai trong bàn có khả năng giữ bí mật tốt nhất?
16,truth,interaction,Thói quen/ hành động gì ở đối phương khiến bạn lập tức say bye?
17,truth,interaction,Ai trong bàn có nụ cười đẹp nhất?
18,truth,interaction,"Nếu được đổi chỗ với một người ngay bây giờ, bạn sẽ chọn ai?"
19,truth,interaction,Ai trong bàn có vẻ là người khó say nhất?
20,truth,interaction,Bạn muốn gặp lại ai trong bàn ở buổi nhậu tiếp theo?
21,dare,drink,Uống một nửa ly.
22,dare,drink,Chọn một người cùng cụng ly và cả hai cùng uống.
23,dare,drink,Uống 1 ly
24,dare,drink,Mời cả bàn nâng ly rồi bạn uống đầu tiên.
25,dare,drink,Để người bên phải đúc cho bạn uống.
26,dare,funny,Nói chuyện bằng giọng em bé trong 30 giây.
27,dare,funny,Catwalk một vòng quanh bàn.
28,dare,funny,Bắt chước tiếng cười của người đối diện.
29,dare,funny,Diễn tả một bộ phim để cả bàn đoán.
30,dare,funny,Hát điệp khúc bài hát bất kỳ.
31,dare,interaction,Hôn 1 cái ở cổ người bên phải.
32,dare,interaction,Bắt tay với tất cả mọi người.
33,dare,interaction,Để cả bàn đặt cho bạn một biệt danh.
34,dare,interaction,Khen người bên trái bằng ba từ.
35,dare,interaction,Nhìn vào mắt người đối diện trong 10 giây.
36,dare,skinship,Khoác vai người bên cạnh trong 10 giây.
37,dare,skinship,Hôn trán người đối diện.
38,dare,skinship,Ôm người bạn chọn trong 5 giây.
39,dare,skinship,Hôn lên mu... bàn tay người được chỉ định.
40,dare,skinship,Chạm trán với người bên cạnh trong 5 giây.
41,random,drink,Tất cả cùng uống một ly.
42,random,drink,Người mặc áo tối màu uống.
43,random,drink,Người đeo kính uống.
44,random,interaction,Tất cả đổi chỗ ngồi.
45,random,interaction,Cụng ly với người bên trái.
46,random,funny,Cả bàn phải cười trong 5 giây.
47,random,funny,Ai cười đầu tiên uống.
48,random,interaction,Mọi người đổi chỗ điện thoại cho nhau trong 10 giây (không mở khóa).
49,random,drink,Ai mặc áo sáng màu uống.
50,random,interaction,Mỗi người nói một lời khen cho người bên trái.
51,truth,interaction,Ai trong bàn có 'red flag' rõ nhất?
52,truth,interaction,Ai có vibe người yêu lý tưởng nhất?
53,truth,interaction,"Nếu phải unfollow một người trong bàn, bạn chọn ai?"
54,truth,interaction,Ai nhìn hiền nhưng đáng nghi nhất?
55,truth,interaction,Ai có khả năng ghost tin nhắn nhất?
56,truth,interaction,"Nếu phải hôn ngay một người lúc này, bạn sẽ chọn ai?"
57,truth,interaction,Ai dễ viral trên TikTok nhất?
58,truth,interaction,Ai sẽ là người cưới sớm nhất?
59,truth,interaction,Bạn đã từng rung động với người lớn tuổi hoặc nhỏ tuổi hơn mình rất nhiều chưa?
60,truth,interaction,Ai là người dễ được crush nhất?
61,truth,interaction,Ai hợp làm KOL nhất?
62,truth,interaction,Ai có gu thời trang đỉnh nhất?
63,truth,interaction,Ai sẽ là người quên chìa khóa khi đi chơi?
64,truth,interaction,Ai dễ bị bắt gặp lướt TikTok lúc 3 giờ sáng nhất?
65,truth,interaction,"Nếu lập podcast, bạn chọn ai làm host?"
66,truth,interaction,Ai là người sống 'chữa lành' nhất?
67,truth,interaction,Ai sẽ thắng nếu thi uống bia hôm nay?
68,truth,interaction,Ai giữ bí mật tốt nhất?
69,truth,interaction,Ai có khiếu hài hước tự nhiên nhất?
70,truth,interaction,Bạn đã từng mơ thấy ai đó đang có mặt ở đây chưa?
71,dare,drink,Uống bằng tay không thuận.
72,dare,drink,Cụng ly với ba người rồi uống 1ly.
73,dare,drink,Để người bên phải quyết định bạn uống đến khi nói Dừng.
74,dare,drink,Uống đến khi người bên trái nói 'dừng'.
75,dare,drink,Hai người được chỉ định uống chéo tay.
76,dare,funny,Diễn cảnh tỏ tình với chiếc ghế trong 20 giây.
77,dare,funny,Catwalk như người mẫu trên sàn diễn.
78,dare,funny,Nói bằng giọng MC gameshow trong 30 giây.
79,dare,funny,Giả làm người nổi tiếng để cả bàn đoán.
80,dare,funny,Tạo dáng ảnh bìa tạp chí trong 10 giây.
81,dare,interaction,Để cả bàn đặt biệt danh mới cho bạn.
82,dare,interaction,Đổi chỗ với người được cả bàn chỉ định.
83,dare,interaction,Khen người đối diện bằng 5 từ.
84,dare,interaction,Để người bên trái chọn ảnh selfie đẹp nhất của bạn (không đăng).
